247.74 258.44 245.52 246.88 224.37 229.24
244.78 246.67 252.86 242.21 277.97 248.23
275.43 285.34 266.17 289.03 292.92 302.74
289.32 298.81 273.36 273.52 292.65 288.08
298.18 313.05 320.30 323.62 319 324.95
324.87 327.20 319.61 321.55 320.03 325.21
321.45 318.85 308.66 309.51 323.87 324.34
317.69 308.95 318.31 319.23 317.70 316.57
318.73 315.24 311.34 312.68 316.96 310.33
309.63 303.19 298.39 299.80 297.43 300.35
293.65 291.52 289.80 289.91 284.27 284
279.44 280.02 279.74 280.41 279.86 275.15
271.46 270.77 268.48 266.92 270.71 265.58
261.74 259.45 264.16 267.25 267.84 264.29
266.37 261.78 262.01 263.19 266.29 267.10
265.76 262.64 264.47 261.96 262.20 260.14
259.43 257.24 257.13 257.50 255.82 248.76
243.26 243.29 249.05 246.58 243.58 243.18
239.96 240.51 236.41 235.28 234.37 235.32
235.87 236.21 230.09 227.03 224.40 227.06
227.01 220.82 218.96 224.59 223.97 218.82
219.89 221.03 217.68 218.72 217.73 220.96
222.77 220.70 219.90 218.75 223.09 223.59
216.70 214.17 213.26 213.28 209.19 205.70
208.74 209.01 205.53 204.16 206.49 202.64
212.46 212.64 210.36 210.35 206.50 201.74
202.75 208.97 200.48 200.99 203.43 199.04
197 193.34 204.02 208.43 213.04 208.78
209.68 207.74 207.02 208.67 208.84 207.22
202.59 205.66 203.35 204.50 205.21 203.30
201.75 203.23 201.24 200.02 204.23 204.41
202.73 201.55 197.92 199.74 199.80 195.57
198.58 198.78 199.46 197.87 198.45 193.89
192.74 194.15 194.19 194.81 192.58 190.15
185.22 182.54 179.64 173.30 175.07 178.30
177.38 178.23 178.97 179.66 182.78 186.60
183.09 189 190.08 190.92 188.66 185.72
197.18 200.72 202.90 202.86 208.48 211.75
209.15 210.52 200.67 204.61 204.30 205.28
207.16 207.48 204.53 203.86 203.13 199.25
199.23 198.87 198.95 200.62 199.50 200.10
197 195.69 195.35 194.02 191.24 189.95
